Title,Price_pesos,Barangay,Municipality,Seller,Number_Bedrooms,Floor_sqm,Land_sqm,Latitude,Longitude
"St. Joseph SPRINGFIELD, Townhouse Yasmin Model Calamba, Laguna","1,758,366",Laguerta,Calamba,John Romer Fegalquin,2,42,36,121.0965228,14.1752954
"Boutique Resort for Sale in Lakewood Residential Estates, Los Baños City, Laguna","20,000,000",Tadlak,Los Baños,Pauline Khristie Orbeta,4,,300,121.2068865,14.1790531
"Newly Finished Modern House & Lot for Sale in Nuvali, Calamba, Laguna","30,000,000",Canlubang,Calamba,Myrrel Winter,4,310,242,121.0533622,14.1857173
Villa Houses in Laguna,"23,000,000",Canlubang,Calamba,Jumar S. Encila,5,250,300,121.0533622,14.1857173
"For Sale - 3 Storey House and Lot in Ayala Greenfield Estates, Calamba, Laguna","60,000,000",Maunong,Calamba,Tricia Liu,6,718,504,121.159234,14.17197
"For Sale: 765 sqm House and Lot, Montecito, Nuvali, Santa Rosa, Laguna (P65M)","65,000,000",Canlubang,Calamba,Gwen Tang,3,450,765,121.0533622,14.1857173
RUSH Nuvali Avida Cerise 3-BR House for Sale,"5,000,000",Canlubang,Calamba,grace tg,3,60,110,121.0533622,14.1857173
Laguna Bel-Air Cute Good as Brand New House and Lot for Sale,"8,000,000",Ganado,Biñan,grace tg,3,112,132,121.0765617,14.2846399
La Residencia in Sta Rosa Almost Brand New House,"13,000,000",Santo Domingo,Santa Rosa,grace tg,4,360,150,121.0661417,14.2444071
bungalow house and lo tresidential biñan property,"2,000,000",Platero,Biñan,Susana Ortiz,2,70,100,121.0892395,14.322713
House & Lot in Laguna For Sale!,"24,000,000",Santo Domingo,Santa Rosa,Brian ibarreta,3,211,130,121.0548684,14.23828989
"5BR House and Lot For Sale in Mondia, Nuvali, Laguna City","40,000,000",Hornalan,Calamba,Team G-wagon,,600,335,121.0586637,14.23708906
"Brand New High-end/Class A Resort Place in Pansol, Calamba, Laguna","74,800,000",Pansol,Calamba,Victor Ng,9,1401,750,121.1840111,14.178416
Single Attached unit,"6,848,058",Marinig,Cabuyao,Jumar S. Encila,2,52,80,121.152656,14.2696017
Townhouse in Cabuyao Laguna,"3,501,229",Marinig,Cabuyao,Jumar S. Encila,2,50,42,121.152656,14.2696017
"St. Joseph Homes, Calamba Phase 2, 04/12/24 Update Marya Model House","1,367,918",Laguerta,Calamba,John Romer Fegalquin,1,32,36,121.0965228,14.1752954
6 Bedroom Brand New Nuvali Laguna House & Lot,"45,000,000",Canlubang,Calamba,Cathleen Manipon,6,440,448,121.0533622,14.1857173
"KA- For Sale : 2 Bedroom House in Avida Parkway Settings, Calamba, Laguna","6,500,000",Canlubang,Calamba,RE/MAX CAPITAL,2,60,126,121.0831,14.19358
"Elegant Contemporary House for Sale in Sentrina Alaminos, Laguna","4,794,090",San Benito,Alaminos,Jocelyn Penaranda,3,95,89,121.2799644,14.0571169
"3-Bedroom Townhouse For Sale at Prominence 2 Brentville, Mamplasan Laguna","20,000,000",Mampalasan,Biñan,Mitch Razote,3,209,100,121.08424,14.29839
"4-Bedroom House & Lot at Sta. Cecilia Village, Calamba For Sale","5,800,000",Parian,Calamba,Dorie Pizarra,4,130,,121.151971,14.216635
"3 Bedrooms House & Lot for Sale in Brgy. San Juan, San Pablo, Laguna","18,000,000",San Juan,San Pablo,Maricris Locanas,3,300,2000,121.2997183,14.0927887
SANTA ROSA ESTATES HOUSE LAGUNA,"35,000,000",Don Jose,Santa Rosa,Patrice Trijo,4,250,385,121.0735873,14.2615584
"3-Bedroom Modern House for sale in South Spring, Biñan Laguna For Sale By Owner","11,000,000",Canlalay,Biñan,Aspire 8 Realty,4,132,121,121.0713046,14.3435045
"RFO House for sale in San Pedro near Southwoods Mall, Laguna","4,500,000",San Vicente,San Pedro,Aspire 8 Realty,3,67,90,121.55906,14.351765
"3-BR Townhouse For Sale near SLEX Southwoods Exit, Biñan, Laguna","5,500,000",Tubigan,Biñan,Aspire 8 Realty,3,115,50,121.0720965,14.3327118
3 bedroom Townhouse in Southpoint Villas for sale,"1,094,350",Barangay III,Alaminos,Raquel Monterey,3,46,40,121.2554383,14.0723535
"4 BR House and Lot with attic for sale at Sentrina Alaminos, Laguna","7,481,622",San Benito,Alaminos,Raquel Monterey,4,142,121,121.2799644,14.0571169
4 BR House for Sale with Attic at Sentrina Alaminos,"7,481,622",San Benito,Alaminos,Raquel Monterey,4,142,121,121.2494997,14.545034
2 Bedroom House with parking space for Sale,"1,840,000",Gatid,Santa Cruz,Raquel Monterey,2,42,80,121.3799437,14.2660546
"3-Bedroom House and Lot For Sale in Privado Homes, Biñan","5,000,000",San Francisco,Biñan,Aspire 8 Realty,3,106,110,121.0555577,14.3336384
"MSG-43-0010: Rizal Boulevard, Sta. Rosa City, Laguna Foreclosed House and Lot","5,500,000",Tagapo,Santa Rosa,MSGRDC Alquileta,,172,199,121.0964134,14.3127655
"House and Lot for Sale in Mirala NUVALI, Laguna 4 Bedroom 4BR Clean title","32,000,000",Canlubang,Calamba,Yvette De Asis,4,323,364,121.0533622,14.1857173
House and Lot 2 bedroom in Cabuyao for sale,"6,848,000",Casile,Cabuyao,Jumar S. Encila,2,52,80,121.0459659,14.2107162
South Point Villas 01/24 Update | 3 Bedroom Townhouse House For Sale in Alaminos,"1,144,549",Barangay II,Alaminos,John Almar Fegalquin,3,46,40,121.2437608,14.0684701
"2-Storey House and Lot for Sale at Augusta Subdivision, Santa Rosa, Laguna","15,000,000",Don Jose,Santa Rosa,IRENE ANDERSEN,3,180,156,121.0735873,14.2615584
"Townhouse 3BR Triplex for Sale in Hana Garden Villas Nuvali, Calamba, Laguna","24,040,000",Canlubang,Calamba,Jackson Lim,3,219,180,121.0533622,14.1857173
Modern & Affordable Duplex Along Highway Sta. Cruz Laguna,"1,840,000",Gatid,Santa Cruz,Scarlet Magno,2,80,42,121.3799437,14.2660546
"South Point Villas, 05/07/24, Alaminos, Laguna Townhouse End Unit For Sale",,Barangay III,Alaminos,John Romer Fegalquin,3,68,46,121.2554383,14.0723535
"Southpoint Villas (Inner Unit) Borland Brgy. Poblacion lll, Alaminos, Laguna","1,094,350",Barangay III,Alaminos,John Romer Fegalquin,3,46,40,121.2554383,14.0723535
San Jose Village subdivision Biñan Laguna,"6,500,000",San Jose,Biñan,Marietta Pelegrino,3,70,128,121.0347033,14.3304633
"Lovely dwelling in the South of Metro Manila Located in Southwoods, Biñan","45,000,000",San Francisco,Biñan,Cynthia Flor Medina,3,,779,121.0555577,14.3336384
"House Rush For Sale Cash Out of 1.5M in Mahogany Villas, Looc, Calamba, Laguna",,Looc,Calamba,Raymond Aldabe Mamino,2,91,90,121.178206,14.231465
"House and Lot For Sale at Ilaya, Hornalan! Calamba!","15,730,000",Hornalan,Calamba,CoescaRealty CoescaRealty,3,2000,,121.0822104,14.1753161
"For Sale: Renovated & Upgraded Modern House in Ridgeview Estates, Nuvali Calamba","27,000,000",Canlubang,Calamba,Sacho Lacson,3,288,221,121.0533622,14.1857173
Spacious & Scenic Townhouse For Sale In Calamba Laguna,"2,500,000",Puting Lupa,Calamba,Scarlet Magno,2,70,48,121.174707,14.160856
Affordable & Fully Finished Townhouse In Bay Laguna,"1,470,000",Puypuy,Bay,Scarlet Magno,2,40,36,121.282239,14.166966
"Ready For Occupancy Modern Townhouse For Sale in Calamba, Laguna","2,100,000",Palo-Alto,Calamba,Scarlet Magno,2,44,40,121.113605,14.191945
Affordable Townhouse For Sale In Southpoint Villas In  Alaminos Laguna,"1,100,000",Barangay III,Alaminos,Scarlet Magno,3,46,38,121.2554383,14.0723535
St. Joseph Springfield 08/23 Update | 2 Bedroom Townhouse for sale in Calamba,"1,808,366",Laguerta,Calamba,John Almar Fegalquin,2,42,36,121.0965228,14.1752954
St. Joseph Richfield Phase 2 | 08/23 Update | 2 Bedrooms Townhouse House and Lot,"2,090,585",Tagapo,Santa Rosa,John Almar Fegalquin,2,42,50,121.0964134,14.3127655
"St. Joseph Homes 01/24 Update| Loft House for sale in Calamba, Laguna","1,367,918",Laguerta,Calamba,John Almar Fegalquin,1,32,36,121.0965228,14.1752954
St Joseph Ridgeview 01/24 Update | Single Attached House for sale in San Pedro,"2,484,027",Langgam,San Pedro,John Almar Fegalquin,1,26,84,121.014819,14.3280469
Bria San Pablo 08/23 Update | 2 Bedrooms Townhouse with Free Fence for sale,"2,100,000",San Gregorio,San Pablo,John Almar Fegalquin,2,44,36,121.2573051,14.0196867
SOON TO RISE IN SAN PABLO LAGUNA,"2,520,000",San Rafael,San Pablo,Rhodelyn Marquez,2,80,50,121.3021888,14.0736539
AFFORDABLE PRESELLING HOUSE AND LOT UNITS INSIDE NUVALI!!!,"5,000,000",Canlubang,Calamba,Mel Batang,3,65,60,121.0533622,14.1857173
Lynville San Marcos,,San Marcos,San Pablo,Rhodelyn Marquez,2,33,38,121.3040797,14.1035008
Single attached house,"1,672,199",Gulod,Cabuyao,Raquel Monterey,1,26,60,121.152656,14.2696017
TOWNHOUSE for Sale,"1,758,360",Laguerta,Calamba,Raquel Monterey,2,42,36,121.0965228,14.1752954
La Residencia in Santa Rosa Almost Brand New House Corner Unit Well Ventilated,"12,500,000",Santo Domingo,Santa Rosa,grace tg,3,360,150,121.0661417,14.2444071
"2 Bedrooms Yama Townhomes For Sale in Idesia Cabuyao, Laguna",,Marinig,Cabuyao,Rhodelyn Marquez,2,42,50,121.152656,14.2696017
"Sora Model, Idesia Cabuyao a Japanese Inspired Home For Sale",,Marinig,Cabuyao,Rhodelyn Marquez,2,52,100,121.152656,14.2696017
2 Storey Single Attached,"6,115,111",Marinig,Cabuyao,Raquel Monterey,2,52,102,121.152656,14.2696017
"2 Bedroom House and Lot for sale at Idesia Cabuyao, Laguna","6,835,257",Marinig,Cabuyao,Olive Enciso,2,52,215,121.152656,14.2696017
"House for sale at Idesia Cabuyao ""Sora (Sky)"" Brgy. Marinig, Cabuyao","5,208,620",Marinig,Cabuyao,John Romer Fegalquin,2,52,80,121.152656,14.2696017
Townhouse in Laguna provision for 3 bedrooms 1TB with carport 2 storey,"1,034,000",Barangay II,Alaminos,Sarah Jane Ramos,3,46,40,121.2437608,14.0684701
"220sqm 4BR Beautiful and Furnished House for sale in Santa Rosa, Laguna","12,500,000",,Santa Rosa,Bridgette Aloya,4,220,150,121.2806081,14.2984883
"MSG-17-0053: Brgy Palingon, City of Calamba Laguna Foreclosed House and Lot","3,620,000",Palingon,Calamba,MSGRDC Alquileta,,126,259,121.186024,14.214945
"MSG-03-1399: Camella Dos Rios, Cabuyao, Laguna Foreclosed Townhouse","4,905,000",Diezmo,Cabuyao,MSGRDC Alquileta,,,88,121.108456,14.244691
HOUSE and LOT 3 bedroom for SALE,"9,300,000",Zapote,Biñan,Armenia Rites,3,149,164,121.0831951,14.3147643
"Newly Built house and lot for sale Mirala Nuvali, Calamba, Laguna","32,000,000",Canlubang,Calamba,Kristine Dela Cruz,4,323,364,121.0533622,14.1857173
"KA - FOR SALE: 2 Bedroom House in Avida Woodhill Settings Nuvali, Laguna","8,325,000",Canlubang,Calamba,RE/MAX CAPITAL,2,88,154,121.0533622,14.1857173
"KA - FOR SALE: 2 Bedroom House in Avida Parkway Settings, Calamba, Laguna","5,800,000",Canlubang,Calamba,RE/MAX CAPITAL,2,53,127,121.0533622,14.1857173
Modern House Mirala Nuvali Sta Rosa Laguna nr Tagaytay SLEX Southwoods Cavite,"45,000,000",Santo Domingo,Santa Rosa,Cleren Santos,6,422,448,121.0661417,14.2444071
"3 Bedroom House and Lot for Sale in Calamba, Laguna","10,000,000",Milagrosa (Tulo),Calamba,Kristine De Mesa,3,151,120,121.1395358,14.1720168
Brentville International Community – Prominence II | 3BR Townhome w/ CCT for Sale in ...,"18,525,000",Mampalasan,Biñan,Prestige by Filinvest,3,195,,121.0810444,14.2923053
"For Sale 3 Bedroom House and Lot in Hana Garden Villas Nuvali, Cabuyao, Laguna","23,650,000",Pittland,Cabuyao,Bien Singson,3,219,180,121.0721529,14.2220299
2 Bedroom House for Sale near Southwoods exit,"5,000,000",Biñan,Biñan,Nancy Tulaytay,2,105,113,121.0539924,14.2703263
"Lynville Diamond 4/12/24 ""Sofia Deluxe"" Semi-complete Duplex Santa Cruz, Laguna","1,840,000",Gatid,Santa Cruz,John Romer Fegalquin,2,42,80,121.3799437,14.2660546
"Lynville Diamond ""Zerina Premium"" Single Attached House at Santa Cruz","2,280,000",Gatid,Santa Cruz,John Romer Fegalquin,2,50,80,121.3799437,14.2660546
Two storey Townhouse,"3,055,906",Marinig,Cabuyao,Raquel Monterey,2,42,50,121.152656,14.2696017
Two Storey Townhouse,"1,034,110",Barangay III,Alaminos,Raquel Monterey,3,46,40,121.2554383,14.0723535
"Palmera Lynville Homes San Marcos, 4/12/24 San Pablo, Laguna","820,000",San Marcos,San Pablo,John Romer Fegalquin,1,33,36,121.3040797,14.1035008
"Palmera Plus Lynville Homes San Marcos 4/12/24 update San Pablo, Laguna","940,000",San Marcos,San Pablo,John Romer Fegalquin,1,33,36,121.3040797,14.1035008
2 bedrooms House and Lot for Sale Ready for Occupancy,"3,500,000",Palo-Alto,Calamba,Lunesita A. Contridas,2,40,87,121.117848,14.19598903
2 bedrooms House and Lot Near Southwoods exit,"5,034,635",San Francisco,Biñan,Lunesita A. Contridas,2,56,50,121.0555577,14.3336384
3Bedrooms House and Lot For Sale near Southwoods exit,"10,347,661",San Francisco,Biñan,Lunesita A. Contridas,3,105,114,121.0555577,14.3336384
"47,200 All In Downpayment Townhouse 3 BR 2 T&B with Carpark For Sale, San Pablo","2,775,000",Soledad,San Pablo,Rustan Marco,3,45,45,121.3168597,14.0414842
"Lynville Residences Santa Cruz, Laguna 5/7/24 Update Palmera Rowhouse with Loft","820,000",San Juan,Santa Cruz,John Romer Fegalquin,1,33,36,121.407641,14.25509
3bedrooms Townhouse For Sale Ready for Occupancy Near Carmona exit,"4,800,040",Soro-Soro,Biñan,Lunesita A. Contridas,3,94,107,121.06495,14.3292869
5bedrooms House and Lot Near Nuvali and Tagaytay .Near entrance gate,"8,800,000",Pittland,Cabuyao,Lunesita A. Contridas,5,100,121,121.0721529,14.2220299
"3 Bedroom Townhouse for sale at South Point Villas, Alaminos, Laguna","1,064,229",Barangay III,Alaminos,Olive Enciso,3,46,40,121.2554383,14.0723535
"For Sale Lynville San Marcos, Laguna | Loft Provision for Bedroom Rowhouse",,San Marcos,San Pablo,John Almar Fegalquin,1,33,36,121.3040797,14.1035008
Sentrina Alaminos 01/24 Update | 3 Bedrooms Single Attached House & Lot (1 Left),"4,499,940",San Benito,Alaminos,John Almar Fegalquin,3,85,89,121.2799644,14.0571169
Sentrina Alaminos 01/24 Update | 3 Bedrooms Single Attached House & Lot (2 Left),"4,816,457",San Benito,Alaminos,John Almar Fegalquin,3,95,89,121.2799644,14.0571169
Bettina Enhance Select House for Sale,,San Gregorio,San Pablo,Rhodelyn Marquez,2,44,36,121.2573051,14.0196867
South Point Villas House for Sale,,Barangay III,Alaminos,Rhodelyn Marquez,3,46,40,121.2554383,14.0723535
2 bedrooms Amani Series Phirst Sight Bay for sale,,Puypuy,Bay,Rhodelyn Marquez,2,36,40,121.282239,14.166966
"5 Bedroom, 2 Story Single firewall For Sale in Camella Dos Rios, Cabuyao","8,800,000",Pittland,Cabuyao,Nancy Tulaytay,5,100,176,121.0909261,14.23066526
"2 Bedroom Townhouse For Sale in Richfield St. Joseh, Santa Rosa","2,200,000",Tagapo,Santa Rosa,Nancy Tulaytay,2,42,36,121.0964134,14.3127655
"3 Bedroom and Complete Turnover For Sale in Privado Homes, Biñan","10,330,147",San Francisco,Biñan,Nancy Tulaytay,3,106,110,121.0555577,14.3336384
"KA - FOR SALE: 4 Bedroom House in Avida Settings Nuvali, Laguna","9,400,000",Canlubang,Calamba,RE/MAX CAPITAL,4,120,116,121.0533622,14.1857173
"KA - FOR SALE: 2 Bedroom House in Avida Settings Nuvali, Laguna","7,000,000",Canlubang,Calamba,RE/MAX CAPITAL,2,116,135,121.0533622,14.1857173
Sentrina Calamba 01/24 Update | 3 Bedrooms Single Attached RFO Model House & Lot,"8,432,598",Lawa,Calamba,John Almar Fegalquin,3,99,98,121.146668,14.2086539
"Southwind | Banyan 3BR Single Detached House for Sale in San Pedro, Laguna | Aspire b...","12,142,400",San Antonio,San Pedro,Aspire by Filinvest,3,167,132,121.0265376955,14.3402945916
"Southwind | Walnut 3BR Single Attached House for Sale in San Pedro, Laguna | Aspire b...","8,679,100",San Antonio,San Pedro,Aspire by Filinvest,3,125,132,121.0433415,14.3669314
"Strikingly Attractive 3Storey House and Lot for Sale in Nuvali, Laguna","42,000,000",Canlubang,Calamba,Rainier Kristoffer Espiritu,4,390,303,121.0533622,14.1857173
"Strikingly Attractive 3Storey House and Lot for Sale in Nuvali, Laguna","42,000,000",Canlubang,Calamba,Rainier Kristoffer Espiritu,4,390,303,121.0533622,14.1857173
2BR House and Lot for Sale at Sentosa Calamba Laguna,"1,600,000",Punta,Calamba,Realus Realtors,2,52,89,121.122173,14.176345
For Sale Fully-Furnished House in Southern Plains Mapagong Calamba Laguna,"28,000,000",Canlubang,Calamba,Eva Emilia Carreon,4,500,530,121.1138283,14.2327804
"MSG-12-0238: La Marea Trails 2, Brgy. San Antonio, San Pedro Laguna Foreclosed House ...","15,876,000",San Antonio,San Pedro,MSGRDC Alquileta,,189,265,121.0433415,14.3669314
"MSG-33-1705: La Marea Trails 2, San Pedro Laguna Foreclosed House and Lot","14,289,000",San Antonio,San Pedro,MSGRDC Alquileta,,189,265,121.0433415,14.3669314
"PVT-2023-0035: Garden Villas 3, Sta. Rosa, City of Laguna House and Lot","6,000,000",,Santa Rosa,MSGRDC Alquileta,,,97,121.2806081,14.2984883
"GVZ - FOR SALE: 3 Bedroom House in Avida Settings Nuvali, Calamba","11,500,000",Canlubang,Calamba,RE/MAX CAPITAL,3,127,148,121.0533622,14.1857173
"For sale Townhouse Complete Finish, near UP Los Baños, Bay, Laguna","1,606,995",Puypuy,Bay,Adrian Dimayuga,2,36,40,121.282239,14.166966
"Lynville Sta. Cruz, Laguna 01/24 Updated | 2 Bedroom Single Attached House n Lot","2,310,000",Gatid,Santa Cruz,John Almar Fegalquin,2,50,80,121.3799437,14.2660546
"Lynville Sta. Cruz, Laguna 01/24 Updated | 2 Bedrooms Duplex House and Lot","1,870,000",Gatid,Santa Cruz,John Almar Fegalquin,2,42,80,121.3799437,14.2660546
"Lynville Sta. Cruz, Laguna 01/24 Update | Loft Provision for Bedroom Rowhouse",,San Jose,Santa Cruz,John Almar Fegalquin,1,33,36,121.406785,14.24264
"2 Bedroom House For Sale in Phirst Sights Bay, Puypuy, Bay, Laguna","1,600,000",Puypuy,Bay,Christy Ann Q. Saño,2,36,40,121.282239,14.166966
3 Bedroom Single-Attached House and Lot for sale at Sentrina Alaminos,"4,455,484",San Benito,Alaminos,Raquel Monterey,3,85,89,121.2799644,14.0571169
"4 Bedroom House and Lot @ Villa Esmeralda for Sale at Santa Rosa, Laguna","10,000,000",Balibago,Santa Rosa,Dorie Pizarra,4,241,142,121.10166,14.294425
"Two Storey Duplex House for Sale in Lynville Santa Cruz, Laguna","1,840,000",Gatid,Santa Cruz,Adrian Dimayuga,2,42,80,121.3799437,14.2660546
"Single Attached House and Lot For Sale near Sunstar Mall in Santa Cruz, Laguna","2,280,000",Gatid,Santa Cruz,Adrian Dimayuga,2,50,80,121.3799437,14.2660546
"For Sale Duplex House Provision for 2 Bedrooms, Lynville Homes, San Pablo Laguna","1,820,000",San Antonio 1,San Pablo,Adrian Dimayuga,2,42,70,121.3410636,14.008879
For Sale 2 Bedrooms House and Lot near Ospital Ng Cabuyao,"1,700,000",Gulod,Cabuyao,Lunesita A. Contridas,2,42,36,121.1623549,14.2562824
Sentrina Calamba Kyla Model,"5,012,982",Lawa,Calamba,Olive Enciso,3,94,91,121.146668,14.2086539
Sentrina Calamba,"6,728,747",Lawa,Calamba,Olive Enciso,3,99,113,121.146668,14.2086539
"3 Bedroom House and Lot for sale at Sentrina Calamba, Laguna","7,503,708",Lawa,Calamba,Olive Enciso,3,154,113,121.146668,14.2086539
"3 Bedroom NRFO House and lot Fortezza (Martini Model) Cabuyao, Laguna, For Sale","15,964,000",San Isidro,Cabuyao,Ezra Jared Pedrigala,3,109,204,121.1351734,14.2380439
Nuvali Ridgeview Newly Renovated House and Lot near Gate for Sale at Calamba,"12,000,000",Canlubang,Calamba,grace tg,3,130,178,121.0533622,14.1857173
"Mansion for Sale in Antipolo, Rizal, Laguna","68,000,000",Antipolo,Rizal,Marvin Sim,5,884,532,121.380557,14.114565
Idesia Cabuyao 01/24 Update | 2 Bedrooms Townhouse For Sale at Laguna,"3,471,103",Marinig,Cabuyao,John Almar Fegalquin,2,42,50,121.152656,14.2696017
Idesia Cabuyao 01/24 Update | 2 Bedrooms Single Attached House and Lot,"5,251,030",Marinig,Cabuyao,John Almar Fegalquin,2,52,102,121.152656,14.2696017
2 bedrooms single attached near Pavilion Mall,"2,650,000",San Antonio,Biñan,Lunesita A. Contridas,2,43,45,121.0895615,14.3355937
Sentrina Alaminos Laguna House for Sale,"4,737,424",San Benito,Alaminos,Olive Enciso,3,95,89,121.2799644,14.0571169
The Granary  Semi-Finished Townhouse In Binan Laguna,"2,650,000",Biñan,Biñan,Jun Boyon,2,43,45,121.0539924,14.2703263
"Row House For Sale in Lynville, San Marcos, San Pablo, Laguna","650,000",San Marcos,San Pablo,Olive Enciso,1,33,36,121.3040797,14.1035008
"816 sqm Lot with 3-Bedroom  located  in Stonecrest Village, San Pedro, Laguna","48,000,000",Riverside,San Pedro,Team G-wagon,3,350,816,121.0385491,14.3424155
"Single Attached Bungalow For Sale in Brgy. Gulod , Cabuyao Laguna","1,604,991",Gulod,Cabuyao,Raquel Monterey,1,26,60,121.1623549,14.2562824
"Brand New Modern 4BR House & Lot for Sale at Town and Country, Biñan Laguna","7,900,000",Santo Tomas,Biñan,Cristina Munar,4,120,75,121.0715461,14.3114915
Brand New Two (2) Storey House in Avida Nuvali Sta. Rosa - Cabuyao Laguna,"9,200,000",Canlubang,Calamba,Jesus Inot,3,105,175,121.0533622,14.1857173
PHirst Park Phase2 Calamba 01/24 Update | 3 Bedrooms Single Attached House & Lot,"4,868,455",Palo-Alto,Calamba,John Almar Fegalquin,3,54,100,121.113605,14.191945
PHirst Park Phase1 Calamba 01/24 Update | 3 Bedrooms Single Attached House & Lot,"4,300,558",Palo-Alto,Calamba,John Almar Fegalquin,3,54,108,121.113605,14.191945
3 Bedrooms Single Attached House for Sale,"4,737,424",San Benito,Alaminos,Raquel Monterey,3,95,89,121.2799644,14.0571169
"RFO 2 Bedroom Townhouse with Fence, Bria Homes offers a Complete Turn over","2,100,000",San Gregorio,San Pablo,Adrian Dimayuga,2,44,36,121.2573051,14.0196867
The Granary Biñan 04/24 Update | 2 Bedroom House near SM Santa Rosa,"2,850,000",San Antonio,Biñan,John Almar Fegalquin,2,43,45,121.0895615,14.3355937
"Beautiful 2 storey House for sale in Bucal, Calamba with swimming pool","12,000,000",Bucal,Calamba,ZENAIDA JAMORA,3,360,310,121.169321,14.187465
Cozy 2BR Townhouse in Biñan Laguna,"3,932,000",,Biñan,Cristina Munar,2,40,62,121.7084963,14.3144646
Lynville Diamond House for Sale,"2,200,000",Mamatid,Cabuyao,Olive Enciso,2,80,50,121.151417,14.239095
Single attached with 2 bedrooms for Sale,"2,280,000",Gatid,Santa Cruz,Raquel Monterey,2,50,80,121.3799437,14.2660546
"Class Design Single Detached 4BR House with Carport For Sale in Alaminos, Laguna","6,408,807",San Benito,Alaminos,Rustan Marco,4,107,121,121.28688,14.06562
2 storey single attached House for Sale,,San Benito,Alaminos,Sarah Jane Ramos,3,95,89,121.2494997,14.545034
"4BR Corner, Pre-owned House and Lot in Santa Rosa Estate Laguna","15,000,000",Don Jose,Santa Rosa,Cristina Munar,4,220,234,121.0735873,14.2615584
For Sale: Most Affordable 2-Storey Townhouse (Bare) South Point Villas Alaminos,"1,064,230",Barangay III,Alaminos,Zeny Hidalgo,3,46,40,121.2554383,14.0723535
"Low Downpayment 48K All In Zero Interest Townhouse For Sale in San Pablo, Laguna","1,171,000",Santa Monica,San Pablo,Rustan Marco,2,38,42,121.28688,14.06562
Pre-selling Single Attached House for Sale near SM San Pablo City,"2,520,000",San Rafael,San Pablo,Adrian Dimayuga,2,50,80,121.3021888,14.0736539
Lowest 47K Downpayment 3 BR 2 T&B Duplex House w/ Carport For Sale in San Pablo,"3,300,000",Soledad,San Pablo,Rustan Marco,3,52,60,121.32261,14.05427
Vista Rosa San Francisco House for Sale,"7,700,000",Biñan,Biñan,Virginia Natividad Concha,3,115,50,121.0539924,14.2703263
3-BR (Single Attached) House and Lot For Sale in Sentrina Alaminos,"4,219,545",San Benito,Alaminos,Filipina Reblando,3,85,89,121.2799644,14.0571169
"For Sale: 2 Storey House 3BR in Southpoint Villas  Alaminos, Laguna",,Santa Rosa,Alaminos,Hector Bien,3,46,40,121.2426924,14.0448357
"House for Sale: 2 Storey 3 BR & 2TB in Southpoint Villas Alaminos, Laguna",,Santa Rosa,Alaminos,Hector Bien,3,46,40,121.2426924,14.0448357
"For Sale: 2 storey 3br's &   2tb House  in Southpoint Villas  Alaminos, Laguna",,Santa Rosa,Alaminos,Hector Bien,3,46,40,121.2426924,14.0448357
"Brand New Modern 4BR House and Lot in San Pedro, Laguna near Evia Daang Hari","8,500,000",San Roque,San Pedro,Cristina Munar,4,114,110,121.0636619,14.3648597
Newly-Built House in Town & Country Southville Santo Tomas Biñan Laguna Unit B,"7,500,000",Santo Tomas,Biñan,Eva Emilia Carreon,4,130,94,121.0715461,14.3114915
Newly-Built house in  Unit A Town & Country Southville Santo Tomas Biñan Laguna,"7,300,000",Santo Tomas,Biñan,Eva Emilia Carreon,4,110,94,121.0715461,14.3114915
"Complete Finish Duplex House in Laguna 3BR with Carpark For Sale, San Pablo","3,100,000",San Vicente,San Pablo,Rustan Marco,3,49,60,121.340728,14.0256013
"Ready For Occupancy House For Sale in Penthouse at Jubilation Enclave, Biñan","6,210,540",Santo Niño,Biñan,Joseph Edar,3,90,,121.0857856,14.3268282
3BR House and Lot For Sale in Woodhill Settings Nuvali Calamba Laguna,"12,000,000",Canlubang,Calamba,Realus Realtors,3,115,227,121.0864,14.18823
3bedrooms House and Lot For Sale Fully Furnished,"6,728,747",Lawa,Calamba,Lunesita A. Contridas,3,99,91,121.146668,14.2086539
5 bedroom house in lot with pool  in binan laguna,"38,500,000",Biñan,Biñan,Dorie Pizarra,5,392,610,121.0539924,14.2703263
"Enjoy Japanese Style Inspired House and Lot for Sale in Calamba, Laguna","23,170,000",Pittland,Cabuyao,Rainier Kristoffer Espiritu,3,219,144,121.0721529,14.2220299
"Enjoy Japanese Style Inspired House and Lot for Sale in Calamba, Laguna","23,170,000",Pittland,Cabuyao,Rainier Kristoffer Espiritu,3,219,144,121.0721529,14.2220299
"Enjoy Japanese Style Inspired House and Lot for Sale in Calamba, Laguna","23,170,000",Pittland,Cabuyao,Rainier Kristoffer Espiritu,3,219,144,121.0721529,14.2220299
"Enjoy Japanese Style Inspired House and Lot for Sale in Calamba, Laguna","23,170,000",Pittland,Cabuyao,Rainier Kristoffer Espiritu,3,219,144,121.0721529,14.2220299
"Single Detached 4-BR House w/ Attic 3 T&B ,Carport For Sale in Sentrina Alaminos","7,280,157",San Benito,Alaminos,Rustan Marco,4,142,121,121.2799644,14.0571169
RFO Single Attached Complete Turnover 3BR House w/ Carport For Sale in Alaminos,"4,589,239",San Benito,Alaminos,Rustan Marco,3,89,95,121.2799644,14.0571169
Mirala Nuvali | Four Bedroom House and Lot For Sale at Calamba- #5241,"35,000,000",Canlubang,Calamba,Everbright Real Estate,4,323,364,121.0533622,14.1857173
